time,ax,ay,az,gx,gy,gz
112,0.02,0.01,-0.99,1.57,-1.75,2.25
113,-0.02,-0.00,-1.24,33.84,27.02,33.43
114,0.02,0.02,-0.99,-0.81,-0.47,0.35
115,-0.01,0.02,-1.01,0.49,0.14,1.01
116,-0.05,0.01,-0.97,0.05,-0.50,0.60
117,-0.03,0.01,-1.00,-0.25,-0.24,0.82
118,0.00,0.01,-0.92,0.01,0.08,1.95
119,-0.00,0.02,-0.98,0.24,-0.51,0.60
120,0.01,0.00,-0.95,0.17,-0.24,1.22
121,0.01,-0.01,-0.97,0.16,-0.32,0.75
